Item Name,Course of Action,Market Price,Cheapest Buy/Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour
Acacia Plank,Craft,4880,2180.0,1943.5999999999995,0.8915596330275227,2.4,2915399.9999999995
Acacia Plywood,Craft,18300,8720.0,6743.5,0.7733371559633028,12.0,2023050.0000000002
Acacia Timber,Market Buy,1090,1090.0,-168.95000000000005,-0.15500000000000005,0.0,0.0
Advanced Cooking Utensil,Craft,1020000,529240.0,332660.0,0.6285617111329453,3672.0,326137.2549019608
Apprentice's Alchemy Box,Craft,180000,142181.81818181818,9918.181818181823,0.06975703324808188,5.454545454545454,6546000.000000004
Ash Plank,Craft,1150,640.0,331.75,0.518359375,2.4,497625.00000000006
Ash Plywood,Craft,9250,4600.0,3216.25,0.6991847826086957,2.4,4824375.0
Ash Sap,Market Buy,2740,2740.0,-424.7000000000003,-0.1550000000000001,0.0,0.0
Ash Timber,Market Buy,320,320.0,-49.60000000000002,-0.15500000000000008,0.0,0.0
Beer,Market Buy,1350,1350.0,-209.25,-0.155,0.0,0.0
Birch Plank,Craft,2980,1220.0,1298.1,1.0640163934426228,2.4,1947150.0
Birch Plywood,Craft,12200,4880.0,5429.0,1.1125,12.0,1628700.0
Birch Timber,Market Buy,610,610.0,-94.55000000000007,-0.1550000000000001,0.0,0.0
Bloody Tree Knot,Market Buy,5800,5800.0,-899.0,-0.155,0.0,0.0
Blue Whale Tendon,Market Buy,4940000,4940000.0,-765700.0,-0.155,0.0,0.0
Bottle of River Water,Market Buy,6000,6000.0,-930.0,-0.155,0.0,0.0
Bottle of Sea Water,Market Buy,3270,3270.0,-506.8499999999999,-0.15499999999999997,0.0,0.0
Bronze Ingot,Craft,12100,9420.0,804.5,0.08540339702760084,2.4,1206750.0000000002
Cedar Plank,Craft,2730,1450.0,856.8499999999999,0.5909310344827585,2.4,1285275.0
Cedar Plywood,Craft,12700,5800.0,4931.5,0.8502586206896552,12.0,1479450.0
Cedar Timber,Market Buy,725,725.0,-112.375,-0.155,0.0,0.0
Clear Liquid Reagent,Craft,4480,2469.2,1316.4,0.5331281386683947,3.3600000000000003,1410428.5714285714
Clown's Blood,Craft,14300,10240.0,1843.5,0.180029296875,2.4,2765250.0
Coal,Market Buy,790,790.0,-122.45000000000005,-0.15500000000000005,0.0,0.0
Cooking Wine,Market Buy,40,40.0,-6.200000000000003,-0.15500000000000008,0.0,0.0
Copper Ingot,Craft,8400,4640.0,2458.0,0.5297413793103448,2.4,3687000.0000000005
Copper Ore,Market Buy,339,339.0,-52.545000000000016,-0.15500000000000005,0.0,0.0
Elder Tree Plank,Craft,1730,970.0,491.8499999999999,0.507061855670103,2.4,737774.9999999999
Elder Tree Plywood,Craft,13800,6920.0,4741.0,0.6851156069364162,2.4,7111500.0
Elder Tree Timber,Market Buy,485,485.0,-75.17500000000001,-0.15500000000000003,0.0,0.0
Emerald,Craft,102000,63660.477453580905,22529.522546419095,0.35390124999999995,2.387267904509284,33974519.99999999
Fine Hard Hide,Craft,103000,65200.0,21835.0,0.3348926380368098,12.0,6550500.0
Fir Plank,Craft,3110,2460.0,167.94999999999982,0.06827235772357716,2.4,251924.99999999977
Fir Plywood,Craft,15900,12440.0,995.5,0.08002411575562701,2.4,1493250.0
Fir Sap,Market Buy,3460,3460.0,-536.3000000000002,-0.15500000000000005,0.0,0.0
Fir Timber,Market Buy,1230,1230.0,-190.6500000000001,-0.15500000000000008,0.0,0.0
Flax,Market Buy,1300,1300.0,-201.5,-0.155,0.0,0.0
Flax Fabric,Craft,10200,9280.0,-661.0,-0.07122844827586207,2.4,-991500.0000000001
Flax Thread,Market Buy,2320,2320.0,-359.60000000000014,-0.15500000000000005,0.0,0.0
Forest Emerald,Craft,313000,231080.0,33405.0,0.14456032542842306,5.279999999999999,22776136.363636367
Gem Polisher,Craft,87500,65400.0,8537.5,0.1305428134556575,2.4,12806250.000000002
Hard Hide,Craft,22000,16300.0,2290.0,0.14049079754601226,2.4,3435000.0000000005
HP Potion (Medium),Craft,120,96.0,5.3999999999999915,0.05624999999999991,2.4,8099.999999999987
HP Potion (Small),Market Buy,80,80.0,-12.400000000000006,-0.15500000000000008,0.0,0.0
Iron Ingot,Craft,8500,4240.0,2942.5,0.6939858490566038,16.8,630535.7142857143
Iron Ore,Market Buy,530,530.0,-82.15000000000003,-0.15500000000000005,0.0,0.0
Item 1,Market Buy,666,666.0,-103.23000000000002,-0.15500000000000003,0.0,0.0
Item 2,Market Buy,2,2.0,-0.31000000000000005,-0.15500000000000003,0.0,0.0
Item 3,Market Buy,11,11.0,-1.705,-0.155,0.0,0.0
Item 4,Market Buy,45,45.0,-6.975000000000001,-0.15500000000000003,0.0,0.0
Item 5,Craft,77777777,1.406e-07,65722221.564999856,467441120661449.9,6e-10,3.9433332938999916e+20
Item 6,Craft,2000,45.0000001406,1644.9999998594,36.55555543821531,6.0000000006,986999.99981694
Lead Ingot,Craft,8350,5080.0,1975.75,0.3889271653543307,2.4,2963625.0000000005
Lead Ore,Market Buy,367,367.0,-56.88499999999999,-0.15499999999999997,0.0,0.0
Leavening Agent,Market Buy,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0
Lizard Hide,Market Buy,7850,7850.0,-1216.75,-0.155,0.0,0.0
Loopy Tree Plank,Craft,1800,896.0,625.0,0.6975446428571429,2.4,937500.0000000001
Loopy Tree Plywood,Craft,14300,7200.0,4883.5,0.6782638888888889,2.4,7325250.0
Loopy Tree Timber,Market Buy,448,448.0,-69.44,-0.155,0.0,0.0
Maple Plank,Craft,2310,966.0,985.95,1.0206521739130434,2.4,1478925.0000000002
Maple Plywood,Craft,12300,9240.0,1153.5,0.12483766233766234,2.4,1730250.0
Maple Timber,Market Buy,483,483.0,-74.86500000000001,-0.15500000000000003,0.0,0.0
Meat Stew,Market Buy,9400,9400.0,-1457.0,-0.155,0.0,0.0
Melted Copper Shard,Craft,1160,678.0,302.19999999999993,0.4457227138643067,3.6,302199.99999999994
Melted Iron Shard,Craft,2200,1060.0,799.0,0.7537735849056604,3.6,799000.0
Melted Lead Shard,Craft,1270,734.0,339.14999999999986,0.4620572207084467,3.6,339149.9999999999
Melted Tin Shard,Craft,3550,2060.0,939.75,0.45618932038834953,3.6,939750.0000000001
Melted Zinc Shard,Craft,4190,2660.0,880.5499999999997,0.33103383458646607,2.4,1320824.9999999998
Mineral Water,Market Buy,30,30.0,-4.650000000000002,-0.15500000000000008,0.0,0.0
Moss Tree Plank,Craft,1700,850.0,586.5,0.69,2.4,879750.0
Moss Tree Plywood,Craft,13600,6800.0,4692.0,0.69,2.4,7038000.0
Moss Tree Timber,Market Buy,425,425.0,-65.875,-0.155,0.0,0.0
MP Potion (Medium),Craft,120,57.6,43.79999999999999,0.7604166666666665,2.4,65699.99999999999
MP Potion (Small),Market Buy,48,48.0,-7.439999999999998,-0.15499999999999994,0.0,0.0
Mud Crystal,Craft,5850,3120.0,1823.25,0.584375,2.4,2734875.0
Noc Ore,Market Buy,468,468.0,-72.54000000000002,-0.15500000000000005,0.0,0.0
Palm Plank,Craft,1690,1050.0,378.04999999999995,0.360047619047619,2.4,567074.9999999999
Palm Plywood,Craft,12700,6760.0,3971.5,0.5875,2.4,5957250.0
Palm Timber,Market Buy,525,525.0,-81.375,-0.155,0.0,0.0
Pine Plank,Craft,2210,1300.0,567.45,0.43650000000000005,2.4,851175.0000000001
Pine Plywood,Craft,13700,8840.0,2736.5,0.3095588235294118,2.4,4104750.0000000005
Pine Sap,Market Buy,4930,4930.0,-764.1500000000005,-0.1550000000000001,0.0,0.0
Pine Timber,Market Buy,650,650.0,-100.75,-0.155,0.0,0.0
Platinum Ore,Market Buy,2890,2890.0,-447.9500000000003,-0.15500000000000008,0.0,0.0
Plywood Hardener,Craft,138000,105225.5125284738,11384.487471526198,0.10819132354851281,4.100227790432801,9995580.000000002
Pork,Market Buy,8000,8000.0,-1240.0,-0.155,0.0,0.0
Powder of Darkness,Market Buy,1870,1870.0,-289.85000000000014,-0.15500000000000008,0.0,0.0
Processed Coal,Craft,2140,1580.0,228.29999999999995,0.14449367088607593,2.4,342449.99999999994
Pure Copper Crystal,Craft,172000,104480.0,40860.0,0.39107963246554367,2.4,61290000.0
Pure Iron Crystal,Craft,193000,131724.92374841153,31360.07625158847,0.23807245705060917,3.022369187344051,37353568.51124057
Pure Powder Reagent,Craft,3340,2469.6,352.6999999999998,0.14281665046971162,3.3600000000000003,377892.8571428569
Pure Tin Crystal,Market Buy,84000,84000.0,-13020.0,-0.155,0.0,0.0
Pure Zinc Crystal,Craft,111000,107168.0,-13373.0,-0.12478538369662585,16.8,-2865642.857142857
Purified Water,Craft,4600,2400.0,1487.0,0.6195833333333334,2.4,2230500.0
Resplendent Emerald,Market Buy,54500,54500.0,-8447.5,-0.155,0.0,0.0
Rough Emerald,Market Buy,32000,32000.0,-4960.0,-0.155,0.0,0.0
Rough Mud Crystal,Market Buy,1560,1560.0,-241.79999999999995,-0.15499999999999997,0.0,0.0
Salt,Market Buy,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0
Shining Fluid Collector,Craft,248000,157984.92374841153,51575.07625158847,0.32645568341521597,1807.822369187344,102703.82625544199
Shining Steel Butcher Knife,Market Buy,162000,162000.0,-25110.0,-0.155,0.0,0.0
Shining Steel Hoe,Market Buy,46000,46000.0,-7130.0,-0.155,0.0,0.0
Shining Steel Lumbering Axe,Market Buy,41200,41200.0,-6386.0,-0.155,0.0,0.0
Shining Steel Pickaxe,Market Buy,9000,9000.0,-1395.0,-0.155,0.0,0.0
Shining Steel Tanning Knife,Craft,240000,217687.92374841153,-14887.92374841153,-0.06839113301304646,1817.422369187344,-29490.407074854626
Ship License: Fishing Boat,Craft,6000000,1506400.0,3563600.0,2.3656399362719065,90660.0,141506.287227002
Silver Azalea,Market Buy,224,224.0,-34.72,-0.155,0.0,0.0
Spirit's Leaf,Market Buy,2250,2250.0,-348.75,-0.155,0.0,0.0
Steel,Craft,8000,5980.0,780.0,0.13043478260869565,2.4,1170000.0
Steel Taritas Armor,Craft,307000,186860.0,72555.0,0.38828534731884834,2.4,108832500.0
Steel Taritas Gloves,Craft,213000,157544.0,22441.0,0.14244274615345554,34.08,2370528.1690140846
Steel Taritas Helmet,Craft,265000,78860.0,145065.0,1.8395257418209485,2.4,217597500.0
Steel Taritas Shoes,Craft,224000,126460.0,62820.0,0.49675786810058514,2.4,94230000.0
Sturdy Acacia Plywood,Craft,215000,161150.61503416856,20524.384965831443,0.12736150564166127,55.320273348519365,1335636.673584347
Sturdy Ash Plywood,Craft,244000,180838.2687927107,25341.731207289296,0.14013478107522548,21.150341685649202,4313416.478190631
Sturdy Birch Plywood,Craft,230000,145790.61503416856,48559.38496583144,0.3330762062732962,55.320273348519365,3160031.129558257
Sturdy Cedar Plywood,Market Buy,94000,94000.0,-14570.0,-0.155,0.0,0.0
Sturdy Elder Tree Plywood,Craft,312000,220800.0,42840.0,0.19402173913043477,2.4,64260000.0
Sturdy Fir Plywood,Market Buy,85500,85500.0,-13252.5,-0.155,0.0,0.0
Sturdy Loopy Tree Plywood,Craft,278000,222800.0,12110.0,0.054353680430879715,2.4,18165000.000000004
Sturdy Maple Plywood,Craft,247000,163230.61503416856,45484.38496583144,0.2786510665067968,16.920273348519363,9677372.374798063
Sturdy Moss Tree Plywood,Craft,172000,153470.61503416856,-8130.615034168557,-0.0529783179168101,16.920273348519363,-1729890.1453957981
Sturdy Palm Plywood,Craft,225000,153310.61503416856,36814.38496583144,0.24012939324277427,16.920273348519363,7832721.324717287
Sturdy Pine Plywood,Craft,192000,161630.61503416856,609.384965831443,0.003770232302231972,16.920273348519363,129654.28109854771
Sturdy Thuja Plywood,Craft,324000,224400.0,49380.0,0.22005347593582888,2.4,74070000.0
Sugar,Market Buy,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0
Sunrise Herb,Market Buy,223,223.0,-34.565,-0.155,0.0,0.0
Thuja Plank,Craft,1810,850.0,679.45,0.7993529411764706,2.4,1019175.0000000001
Thuja Plywood,Craft,14700,7240.0,5181.5,0.7156767955801105,2.4,7772250.000000001
Thuja Timber,Market Buy,425,425.0,-65.875,-0.155,0.0,0.0
Tin Ingot,Craft,8650,8240.0,-930.75,-0.11295509708737864,16.8,-199446.42857142858
Tin Ore,Market Buy,1030,1030.0,-159.64999999999998,-0.15499999999999997,0.0,0.0
Titanium Ore,Market Buy,2670,2670.0,-413.8499999999999,-0.15499999999999997,0.0,0.0
Trace of Forest,Market Buy,27100,27100.0,-4200.5,-0.155,0.0,0.0
Trace of Origin,Market Buy,62000,62000.0,-9610.0,-0.155,0.0,0.0
Trace of Savagery,Market Buy,33700,33700.0,-5223.5,-0.155,0.0,0.0
Trace of the Earth,Market Buy,39800,39800.0,-6169.0,-0.155,0.0,0.0
Vanadium Ore,Market Buy,2030,2030.0,-314.6500000000001,-0.15500000000000005,0.0,0.0
Weeds,Market Buy,3530,3530.0,-547.1500000000001,-0.15500000000000003,0.0,0.0
Whale Tendon Elixir,Market Buy,1590000,1590000.0,-246450.0,-0.155,0.0,0.0
Whale Tendon Potion,Market Buy,381000,381000.0,-59055.0,-0.155,0.0,0.0
Wheat,Market Buy,920,920.0,-142.60000000000002,-0.15500000000000003,0.0,0.0
Wheat Flour,Craft,1110,368.0,569.9499999999999,1.5487771739130434,2.4,854925.0
White Cedar Plank,Craft,2860,1840.0,576.6999999999998,0.31342391304347816,2.4,865049.9999999998
White Cedar Plywood,Craft,13700,7360.0,4216.5,0.5728940217391304,12.0,1264950.0
White Cedar Timber,Market Buy,920,920.0,-142.60000000000002,-0.15500000000000003,0.0,0.0
Wild Grass,Market Buy,3130,3130.0,-485.1500000000001,-0.15500000000000003,0.0,0.0
Wolf Blood,Market Buy,8500,8500.0,-1317.5,-0.155,0.0,0.0
Worm Hide,Market Buy,8150,8150.0,-1263.25,-0.155,0.0,0.0
Yak Hide,Market Buy,7750,7750.0,-1201.25,-0.155,0.0,0.0
Zinc Ingot,Craft,15400,10640.0,2373.0,0.22302631578947368,12.0,711900.0
Zinc Ore,Market Buy,1330,1330.0,-206.1500000000001,-0.15500000000000008,0.0,0.0
